Series Id,Year,Period,Value
CUUR0000SA0L1E,2022,M01,0.7
CUUR0000SA0L1E,2022,M02,0.7
CUUR0000SA0L1E,2022,M03,0.4
CUUR0000SA0L1E,2022,M04,0.5
CUUR0000SA0L1E,2022,M05,0.6
CUUR0000SA0L1E,2022,M06,0.7
CUUR0000SA0L1E,2022,M07,0.3
CUUR0000SA0L1E,2022,M08,0.5
CUUR0000SA0L1E,2022,M09,0.4
CUUR0000SA0L1E,2022,M10,0.3
CUUR0000SA0L1E,2022,M11,0.1
CUUR0000SA0L1E,2022,M12,0.2
CUUR0000SA0L1E,2023,M01,0.6
CUUR0000SA0L1E,2023,M02,0.7
CUUR0000SA0L1E,2023,M03,0.5
CUUR0000SA0L1E,2023,M04,0.5
CUUR0000SA0L1E,2023,M05,0.4
CUUR0000SA0L1E,2023,M06,0.3
